id_localidad;id_estacion;Dirección;Margen;Rótulo;tipoVenta;rem;horario;tipoServicio
8328;8328;CALLE DEL PINAR, S/N;N;AN ENERGETICOS - LARRAGA-ARTAJONA;R;dm;L-D: 24H;L-D: 24H (A)
8329;8329;CARRETERA CARRETERA LERÍN KM,2 KM. 2;N;AN ENERGETICOS - LARRAGA SAN ISIDRO;P;dm;L-D: 24H;L-D: 24H (A)
8330;8330;AUTOVIA A-15 (MRG.DCHO.) KM. 134,4;D;CEPSA;P;OM;"L: 06:30-22:00; S-D: 07:00-22:00";"L: 06:30-22:00 (A); S-D: 07:00-22:00 (A)"
8331;8331;AUTOVIA A-15 (MRG.IZDO.) KM. 134,5;I;CEPSA;P;OM;L-D: 06:00-22:00;L-D: 06:00-22:00 (P)
8332;8332;AUTOVIA A-15 KM. 124,488;N;SHELL;P;dm;"L-V: 09:00-14:00 y 16:00-19:30; S: 09:00-14:00";"L-V: 09:00-14:00 (A), 16:00-19:30 (A); S: 09:00-14:00 (A)"
8333;8333;AUTOVIA A-12 km 16,5;D;E.S. LEGARDA;P;dm;"L-V: 06:00-23:00; S: 07:00-15:00";"L-V: 06:00-23:00 (A); S: 07:00-15:00 (A)"
8334;8334;AUTOVIA A-12 km 16,5;I;E.S. LEGARDA;P;OM;L-D: 24H;L-D: 24H (A)
8335;8335;CARRETERA CTRA. NA170 KM.1.98 KM. 1;D;CAMPSA;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8336;8336;CARRETERA NA-122 KM. 21,200;D;MARISA;P;OM;"L-V: 08:00-20:00; S-D: 09:00-17:00";"L-V: 08:00-20:00 (P); S-D: 09:00-17:00 (P)"
8337;8337;NA-122 km 24,5;D;AN ENERGETICOS - LERIN;P;dm;L-D: 24H;L-D: 24H (A)
8338;8338;ZIOBI,6. POL. INDUSTRIAL ALKAIAGA;D;NEUMATICOS BIDASOA;P;dm;L-D: 24H;L-D: 24H (A)
8339;8339;CARRETERA LESAKA-OIARTZUN km 0.1;I;TRANSPORTES BIDASOA;P;OM;L-D: 24H;L-D: 24H (A)
8340;8340;CR N-240, 41;I;REPSOL;P;OM;L-D: 24H;L-D: 24H (A)
8341;8341;CARRETERA NA-123 KM. 0,7;I;CEPSA;P;OM;L-D: 24H;L-D: 24H (A)
8342;8342;AVDA DIPUTACION FORAL S/N;D;AN ENERGETICOS - LUMBIER;P;dm;L-D: 06:30-22:30;L-D: 06:30-22:30 (P)
8343;8343;BARRIO PEKOTXETA, S/N;I;ASLE;P;dm;L-D: 06:30-22:30;L-D: 06:30-22:30 (P)
8344;8344;CR C-135 66;D;ZONA AUTO LUAIDE AVIA;P;dm;"L-S: 06:00-22:00; D: 08:00-14:00";"L-S: 06:00-22:00 (A); D: 08:00-14:00 (A)"
8345;8345;POLIGONO POL. IND 1- PARCELA 105, 105;D;LUZAIDE;P;dm;L-D: 24H;L-D: 24H (A)
8346;8346;AVENIDA LA ESTACION, 32;D;AVIA;P;dm;L-D: 24H;L-D: 24H (A)
8347;8347;CAMINO EL CEMENTERIO S/N;N;SDAD. COOP DEL CAMPO;P;dm;"L-V: 08:00-20:00; S: 08:00-14:00";"L-V: 08:00-20:00 (A); S: 08:00-14:00 (A)"
8348;8348;POLIGONO BAJO ARAGON, S/N;D;AN ENERGETICOS - MELIDA;P;dm;L-D: 24H;L-D: 24H (A)
8349;8349;CARRETERA LODOSA SN;D;AN ENERGETICOS - MENDAVIA;P;OM;"L-V: 06:00-22:00; S-D: 07:00-22:00";"L-V: 06:00-22:00 (P); S-D: 07:00-22:00 (A)"
8350;8350;CR NA-134, 79;D;REPSOL;P;dm;L-D: 07:00-21:00;L-D: 07:00-21:00 (P)
8351;8351;CARRETERA NA-132-A km 19;N;AVIA;P;dm;L-D: 24H;L-D: 24H (A)
8352;8352;CTRA.LARRAGA km 2;I;AN ENERGETICOS - MENDIGORRIA;P;dm;L: 08:00-19:30;L: 08:00-19:30 (P)
8353;8353;NAVAS DE TOLOSA, 78 (VALTIERRA-SAN ADRIAN-NA-134 km 12,64);D;AVIA;P;dm;L-D: 08:00-20:00;L-D: 08:00-20:00 (A)
8354;8354;CALLE LA RIBERA, 1;D;GASOLINERA G & S;P;dm;L-D: 08:30-19:30;L-D: 08:30-19:30 (A)
8355;8355;CARRETERA DE LERIN km 1,3;N;AN ENERGETICOS - MIRANDA DE ARGA;P;dm;L: 06:30-22:30;L: 06:30-22:30 (A)
8356;8356;NA- 122 km 7;N;AVANZA OIL;R;dm;L-D: 24H;L-D: 24H (A)
8357;8357;C/MAYOR, S/N;D;E.S. MURCHANTE  AVIA;P;dm;L-D: 24H;L-D: 24H (A)
8358;8358;CTRA SANTACARA-MURILLO km 100;D;MURILLO;P;dm;L-D: 24H;L-D: 24H (A)
8359;8359;CALLE OLITE  - CIUDAD DEL TRANSPORTE, 28;N;TRANSPORTES AZPIROZ;P;dm;L: 07:00-22:00;L: 07:00-22:00 (A)
8360;8360;OLITE S/N (CIUDAD DEL TRANSPORTE DE PAMPLONA);N;GASOLEOS MERCADAIZ;P;dm;L-D: 24H;L-D: 24H (A)
8361;8361;AU A-15, 78;I;CEPSA;P;dm;L-D: 24H;L-D: 24H (A)
8362;8362;AU A-15, 78;D;CEPSA;P;dm;"L-S: 07:00-21:00; D: 08:00-14:00";"L-S: 07:00-21:00 (A); D: 08:00-14:00 (A)"
8363;8363;AVENIDA ESTE (CIUDAD DEL TRANSPORTE PAMPLONA), 1;D;"ANDAMUR ""PAMPLONA""";P;dm;L-D: 24H;L-D: 24H (D)
8364;8364;N-240 km 378;I;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
8365;8365;CALLE REAL, 66;D;CEPSA;P;dm;L-D: 24H;Sin datos
8366;8366;CR N-121, 5;D;REPSOL;P;dm;L-D: 24H;L-D: 24H (A)
8367;8367;POLIGONO Y, 10;N;BIDASOA COMBUSTIBLES;R;dm;L-D: 24H;L-D: 24H (A)
8368;8368;CALLE DE LA ESTACION, 30;D;TRANSPORTES SAKANA SCL;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A)
8369;8369;BARRIO DE LA ESTACION S/N;D;VALCARCE;P;dm;L-D: 24H;L-D: 24H (D)
